,latitude,longitude,temperature,humidity,clouds,wind
0,-39,136,54.672799999999995,67,0,3.4672570000000005
1,33,33,78.61279999999994,71,0,14.0256138
2,42,-40,70.87279999999993,93,0,16.2849232
3,21,-13,87.43279999999999,22,0,18.8126654
4,-77,90,-47.02720000000005,90,100,14.651957000000001
5,68,-142,62.59280000000007,41,63,1.2079476000000002
6,-73,127,-62.867200000000025,100,56,13.645334
7,40,48,57.19999999999999,76,0,4.697574
8,53,31,54.698000000000036,87,0,11.184700000000001
9,52,2,48.452,93,0,6.375279000000001
10,8,-179,83.83279999999996,71,95,8.94776
11,67,-81,38.29280000000006,64,0,6.3976484000000005
12,86,-56,33.432799999999986,89,79,6.979252800000001
13,-22,40,72.13280000000003,80,0,16.3744008
14,-85,91,-69.70720000000006,100,76,8.8582824
15,-48,-21,34.51279999999991,74,29,12.213692400000001
16,28,66,84.73280000000005,34,0,6.9121446
17,-4,145,81.6728,80,81,11.0952224
18,-23,-140,67.99280000000005,67,73,26.8209106
19,66,10,45.312799999999925,81,100,11.9452596
20,-3,128,80.77280000000002,77,9,15.748057600000001
21,30,163,80.05279999999999,74,45,5.9726298
22,70,-48,20.652800000000013,81,0,15.211192
23,73,26,45.672799999999995,91,5,2.6172198
24,8,117,84.01279999999991,73,100,13.488748200000002
25,-65,16,25.33280000000002,94,100,22.4141388
26,-41,-112,53.77280000000002,98,100,13.533487000000001
27,-38,-48,54.492800000000045,64,64,38.139827000000004
28,60,-116,56.2928,63,100,8.4780026
29,-76,-64,-4.547200000000032,97,100,13.757181000000001
30,-59,5,14.892800000000022,84,100,24.4721236
31,-22,-76,58.09280000000007,74,100,22.4365082
32,34,60,68.35279999999995,31,0,12.8847744
33,3,167,84.91279999999989,69,4,7.963506400000001
34,42,-159,56.112799999999936,91,94,18.902143
35,60,88,82.21279999999996,47,0,7.9858758000000005
36,10,122,84.37279999999993,71,69,8.4780026
37,-20,-147,71.41279999999989,71,100,34.337029
38,-89,-110,-60.88720000000001,99,100,8.9701294
39,81,-54,32.89280000000002,71,19,9.372778600000002
40,-67,25,26.232799999999997,90,100,25.389269000000002
41,57,158,60.252800000000036,68,92,8.6569578
42,14,126,85.63280000000003,68,100,7.493749000000001
43,-54,121,40.27279999999996,93,100,40.3320282
44,43,113,79.15280000000001,22,0,2.9751302
45,74,13,43.51279999999991,84,42,13.7348116
46,-50,-160,48.01279999999991,86,0,13.690072800000001
47,-88,6,-67.54720000000003,97,52,13.108468400000001
48,-36,-28,58.992800000000045,64,38,5.569980600000001
49,19,147,85.27280000000002,74,97,15.613841200000001
50,-36,-95,51.432799999999986,83,100,12.191323
51,-23,87,67.63280000000003,71,1,23.7339334
52,-51,-51,30.55279999999999,89,100,42.345274200000006
53,79,-23,33.07279999999997,68,0,3.2883018
54,70,-159,54.852799999999945,86,100,11.184700000000001
55,-62,64,14.892800000000022,60,7,8.4108944
56,9,-152,76.45279999999997,94,100,8.321416800000002
57,7,-81,80.23280000000005,84,71,8.4108944
58,81,55,33.432799999999986,88,100,7.806920600000001
59,48,72,69.25280000000004,36,1,20.602217400000004
60,83,-58,32.71279999999996,94,8,8.4556332
61,14,-136,80.05279999999999,84,18,20.3785234
62,75,-178,34.692800000000034,98,100,4.8988986
63,1,-52,71.77280000000002,98,100,1.006623
64,67,9,45.13280000000003,69,84,1.4316416
65,-85,-180,-31.547200000000032,81,97,5.7265664
66,55,166,46.03280000000001,90,100,12.9295132
67,87,169,33.612799999999936,91,93,8.4556332
68,-52,-103,41.172799999999995,85,27,12.9295132
69,58,-170,47.29280000000006,96,100,23.6891946
70,-83,-122,-32.44720000000001,96,99,8.6345884
71,-14,158,78.07279999999997,66,0,8.522741400000001
72,64,90,75.73280000000005,59,17,16.2849232
73,82,38,33.97279999999995,90,100,10.7149426
74,51,90,55.752800000000036,61,0,5.1002232
75,76,138,35.41279999999995,93,100,12.638711000000002
76,-47,-119,45.312799999999925,90,64,13.086099
77,47,-7,66.99200000000002,82,57,11.0057448
78,-16,-112,72.49280000000005,73,0,24.606340000000003
79,56,-132,66.19999999999999,77,90,5.569980600000001
80,31,-72,79.15280000000001,79,0,15.211192
81,-74,-43,-0.7672000000000025,93,100,10.3794016
82,-73,128,-63.407200000000046,100,57,13.645334
83,25,12,78.7928,22,0,5.7713052000000005
84,18,78,72.6728,88,100,14.226938400000002
85,-87,-16,-61.96720000000005,93,74,16.150706800000002
86,22,-42,77.89280000000002,71,76,17.492870800000002
87,47,48,78.7928,60,35,9.0148682
88,25,-178,78.43279999999999,73,9,4.6528352
89,-61,74,20.652800000000013,93,100,10.289924
90,-79,-30,-16.067200000000014,99,100,5.3239172
91,39,-20,64.75280000000004,94,100,2.7514362
92,12,-44,78.07279999999997,86,49,20.512739800000002
93,51,169,43.33280000000002,94,100,2.9080220000000003
94,70,61,41.89280000000002,99,100,8.7688048
95,29,138,80.59280000000007,89,65,13.8019198
96,-80,-83,-49.72720000000004,75,4,11.028114200000001
97,-89,152,-56.74720000000002,99,100,7.6503348
98,71,61,42.25279999999998,99,100,14.8309122
99,62,-129,48.7328,81,100,5.4133948
100,55,13,52.43000000000001,62,0,13.869028000000002
101,71,-72,35.2328,87,44,2.8632832
102,65,-4,41.172799999999995,82,100,26.84328
103,1,70,83.47279999999995,77,100,10.5583568
104,72,-13,33.25279999999998,95,100,19.0587288
105,-47,153,48.01279999999991,74,90,24.270799
106,-56,112,33.97279999999995,88,0,22.2351836
107,-54,-126,34.872799999999984,64,100,10.401771000000002
108,-8,-110,76.63280000000003,77,78,22.6154634
109,51,65,56.47279999999995,87,100,17.1573298
110,-82,-155,-27.22720000000004,73,15,6.9121446
111,33,-168,71.05279999999999,88,96,14.898020400000002
112,-73,-34,-19.307200000000023,97,100,6.7555588
113,-1,47,77.53280000000001,81,32,16.844158200000003
114,42,-179,56.83279999999996,99,100,11.7886738
115,-37,49,61.51279999999991,78,0,29.4604998
116,42,81,49.812799999999925,46,0,2.4158952000000005
117,-39,151,55.752800000000036,61,2,10.5359874
